Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Gino Cavallini,L,L,1962-11-24,Toronto,ON,CAN,CAN,73,215,--,--,--,19841985,N,593,114,159,273
Bruce Cassidy,L,D,1965-05-20,Ottawa,ON,CAN,CAN,71,176,1983,1,18,19831984,N,36,4,13,17
Tony Cassolato,R,R,1956-05-07,Guelph,ON,CAN,CAN,71,180,--,--,--,19791980,N,23,1,6,7
Dave Chyzowski,L,L,1971-07-11,Edmonton,AB,CAN,CAN,73,190,1989,1,2,19891990,N,126,15,16,31
Tom Chorske,R,R,1966-09-18,Minneapolis,MN,USA,USA,73,212,1985,1,16,19891990,N,596,115,122,237
John Chabot,L,C,1962-05-18,Summerside,PE,CAN,CAN,74,200,1980,2,40,19831984,N,508,84,228,312
Frantisek Cernik,R,L,1953-06-03,Novy Jicin,--,CZE,CZE,70,189,--,--,--,19841985,N,49,5,4,9
Blair Chapman,R,R,1956-06-13,Lloydminster,SK,CAN,CAN,71,190,1976,1,2,19761977,N,402,106,125,231
Milan Chalupa,R,D,1953-06-04,Jihlava,--,CZE,CZE,70,183,1984,3,49,19841985,N,14,0,5,5
Todd Charlesworth,L,D,1965-03-22,Calgary,AB,CAN,CAN,71,190,1983,2,22,19831984,N,93,3,9,12
Shawn Chambers,L,D,1966-10-11,Sterling Heights,MI,USA,USA,74,210,--,--,--,19871988,N,625,50,185,235
Jose Charbonneau,R,R,1966-11-02,Ferme-Neuve,QC,CAN,CAN,72,195,1985,1,12,19871988,N,71,9,13,22
Guy Charron,L,C,1949-01-24,Verdun,QC,CAN,CAN,70,170,--,--,--,19691970,N,729,221,309,530
Colin Chisholm,R,D,1963-02-25,Edmonton,AB,CAN,CAN,75,200,1981,3,60,19861987,N,1,0,0,0
Rick Chartraw,R,D,1954-07-13,Caracas,--,VEN,VEN,74,210,1974,1,10,19741975,N,420,28,64,92
Dave Chartier,R,C,1961-02-15,St. Lazare,MB,CAN,CAN,69,170,1980,10,191,19801981,N,1,0,0,0
Jeff Chychrun,R,D,1966-05-03,LaSalle,QC,CAN,CAN,76,215,1984,2,37,19861987,N,262,3,22,25
Steve Chiasson,L,D,1967-04-14,Barrie,ON,CAN,CAN,73,205,1985,3,50,19861987,N,751,93,305,398
Richard Chernomaz,R,R,1963-09-01,Selkirk,MB,CAN,CAN,68,185,1981,2,26,19811982,N,51,9,7,16
Guy Chouinard,R,C,1956-10-20,Quebec City,QC,CAN,CAN,71,182,1974,2,28,19741975,N,578,205,370,575
Mike Christie,L,D,1949-12-20,Big Spring,TX,USA,USA,72,190,--,--,--,19741975,N,412,15,101,116
Marc Chorney,L,D,1959-11-08,Sudbury,ON,CAN,CAN,72,200,1979,6,115,19801981,N,210,8,27,35
Joe Cirella,R,D,1963-05-09,Hamilton,ON,CAN,CAN,75,210,1981,1,5,19811982,N,828,64,211,275
Steve Christoff,R,C,1958-01-23,Richfield,MN,USA,USA,73,180,1978,2,24,19791980,N,248,77,64,141
Ron Chipperfield,R,C,1954-03-28,Brandon,MB,CAN,CAN,71,186,1974,1,17,19791980,N,83,22,24,46
Shane Churla,R,R,1965-06-24,Fernie,BC,CAN,CAN,73,205,1985,6,110,19861987,N,488,26,45,71
Christopher Cichocki,R,R,1963-09-17,Warren,MI,USA,USA,71,185,--,--,--,19851986,N,68,11,12,23
Dan Chicoine,R,R,1957-11-30,Sherbrooke,QC,CAN,CAN,71,192,1977,2,23,19771978,N,31,1,2,3
Kim Clackson,R,D,1955-02-13,Saskatoon,SK,CAN,CAN,71,195,1975,5,85,19791980,N,106,0,8,8
Dave Christian,R,R,1959-05-12,Warroad,MN,USA,USA,72,180,1979,2,40,19791980,N,"1,009",340,433,773
Dean Chynoweth,R,D,1968-10-30,Calgary,AB,CAN,CAN,73,191,1987,1,13,19881989,N,241,4,18,22
Rob Cimetta,L,L,1970-02-15,Toronto,ON,CAN,CAN,72,190,1988,1,18,19881989,N,103,16,16,32
Neal Coulter,R,R,1963-01-02,Toronto,ON,CAN,CAN,74,190,1981,3,63,19851986,N,26,5,5,10
Wendel Clark,L,L,1966-10-25,Kelvington,SK,CAN,CAN,71,197,1985,1,1,19851986,N,793,330,234,564
Dean Clark,L,L,1964-01-10,Edmonton,AB,CAN,CAN,73,180,1982,8,167,19831984,N,1,0,0,0
Dan Clark,L,D,1957-11-03,Toronto,ON,CAN,CAN,73,195,1978,7,110,19781979,N,4,0,1,1
Gordie Clark,R,R,1952-05-31,Glasgow,--,GBR,GBR,70,180,1972,7,112,19741975,N,8,0,1,1
Rejean Cloutier,L,D,1960-02-15,Windsor,QC,CAN,CAN,72,185,--,--,--,19791980,N,5,0,2,2
Bill Clement,L,C,1950-12-20,Buckingham,QC,CAN,CAN,73,194,1970,2,18,19711972,N,719,148,208,356
Real Cloutier,L,R,1956-07-30,St. Emile,QC,CAN,CAN,70,185,1976,1,9,19791980,N,318,146,198,344
Steve Clippingdale,L,L,1956-04-29,Vancouver,BC,CAN,CAN,74,195,1976,2,21,19761977,N,19,1,2,3
Roland Cloutier,L,C,1957-06-10,Trois-Rivières,QC,CAN,CAN,68,157,1977,14,178,19771978,N,34,8,9,17
Stephen Coates,R,R,1950-07-27,Toronto,ON,CAN,CAN,68,171,--,--,--,19761977,N,5,1,0,1
Glen Cochrane,L,D,1958-01-29,Kamloops,BC,CAN,CAN,72,210,1978,3,50,19781979,N,411,17,72,89
Rey Comeau,L,C,1948-10-25,Montréal,QC,CAN,CAN,68,190,--,--,--,19711972,N,564,98,141,239
Kelly Chase,R,R,1967-10-25,Porcupine Plain,SK,CAN,CAN,71,201,--,--,--,19891990,N,458,17,36,53
Rene Chapdelaine,R,D,1966-09-27,Weyburn,SK,CAN,CAN,73,195,1986,8,149,19891990,N,32,0,2,2
Danton Cole,R,R,1967-01-10,Pontiac,MI,USA,USA,71,185,1985,6,123,19891990,N,318,58,60,118
Pat Conacher,L,L,1959-05-01,Edmonton,AB,CAN,CAN,68,190,1979,4,76,19791980,N,521,63,76,139
Zdeno Ciger,L,L,1969-10-19,Martin,--,SVK,SVK,73,190,1988,3,54,19901991,N,352,94,134,228
Jack Egers,L,R,1949-01-28,Sudbury,ON,CAN,CAN,73,175,1966,4,20,19691970,N,278,61,69,130
Gerry Ehman,R,R,1932-11-03,Cudworth,SK,CAN,CAN,72,190,--,--,--,19571958,N,78,18,18,36
Cam Connor,L,R,1954-08-10,Winnipeg,MB,CAN,CAN,74,200,1974,1,5,19781979,N,89,9,22,31
Joe Contini,L,C,1957-01-29,Galt,ON,CAN,CAN,70,178,1977,8,126,19771978,N,68,17,21,38
Jerry Engele,L,D,1950-11-26,Humboldt,SK,CAN,CAN,72,197,--,--,--,19751976,N,100,2,13,15
Tim Coulis,L,L,1958-02-24,Kenora,ON,CAN,CAN,72,200,1978,1,18,19791980,N,47,4,5,9
Ed Cooper,L,L,1960-08-28,Loon Lake,SK,CAN,CAN,70,188,1980,5,85,19801981,N,49,8,7,15
Yvon Corriveau,L,L,1967-02-08,Welland,ON,CAN,CAN,73,195,1985,1,19,19851986,N,280,48,40,88
Bob Corkum,R,C,1967-12-18,Salisbury,MA,USA,USA,72,222,1986,3,47,19891990,N,720,97,103,200
Shayne Corson,L,L,1966-08-13,Barrie,ON,CAN,CAN,73,202,1984,1,8,19851986,N,"1,156",273,420,693
Ross Cory,L,D,1957-02-04,Calgary,AB,CAN,CAN,74,195,--,--,--,19791980,N,51,2,10,12
Jacques Cossette,R,R,1954-06-20,Rouyn-Noranda,QC,CAN,CAN,69,185,1974,2,27,19751976,N,64,8,6,14
Rich Costello,R,C,1963-06-27,Framingham,MA,USA,USA,72,175,1981,2,37,19831984,N,12,2,2,4
Paul Evans,L,C,1955-02-24,Peterborough,ON,CAN,CAN,71,175,1975,9,149,19761977,N,11,1,1,2
Alain Cote,R,D,1967-04-14,Montmagny,QC,CAN,CAN,72,200,1985,2,31,19851986,N,119,2,18,20
Alain Cote,L,L,1957-05-03,Matane,QC,CAN,CAN,70,203,1977,3,43,19791980,N,696,103,190,293
Ray Cote,R,C,1961-05-31,Pincher Creek,AB,CAN,CAN,71,170,--,--,--,19831984,N,15,0,0,0
Sylvain Cote,R,D,1966-01-19,Quebec City,QC,CAN,CAN,71,195,1984,1,11,19841985,N,"1,171",122,313,435
Bill Fairbairn,R,R,1947-01-07,Brandon,MB,CAN,CAN,70,170,--,--,--,19681969,N,581,139,228,367
Bob Falkenberg,R,D,1946-01-01,Stettler,AB,CAN,CAN,72,185,--,--,--,19661967,N,13,0,1,1
Tony Featherstone,R,R,1949-07-31,Toronto,ON,CAN,CAN,71,187,1969,1,7,19691970,N,121,17,20,37
Sylvain Couturier,L,C,1968-04-23,Greenfield Park,QC,CAN,CAN,74,205,1986,4,65,19881989,N,33,4,5,9
Yves Courteau,L,R,1964-04-25,Montréal,QC,CAN,CAN,72,195,1982,2,23,19841985,N,22,2,5,7
Geoff Courtnall,L,L,1962-08-18,Duncan,BC,CAN,CAN,73,195,--,--,--,19831984,N,"1,048",367,432,799
Russ Courtnall,R,R,1965-06-02,Duncan,BC,CAN,CAN,71,185,1983,1,7,19831984,N,"1,029",297,447,744
Craig Coxe,L,L,1964-01-21,Chula Vista,CA,USA,USA,76,210,1982,4,66,19841985,N,235,14,31,45
Mike Craig,R,R,1971-06-06,St. Mary's,ON,CAN,CAN,73,188,1989,2,28,19901991,N,423,71,97,168
Murray Craven,L,L,1964-07-20,Medicine Hat,AB,CAN,CAN,75,190,1982,1,17,19821983,N,"1,071",266,493,759
Bob Crawford,R,R,1959-04-06,Belleville,ON,CAN,USA,71,180,1979,4,65,19791980,N,246,71,71,142
Marc Crawford,L,L,1961-02-13,Belleville,ON,CAN,CAN,71,185,1980,4,70,19811982,N,176,19,31,50
Louis Crawford,L,L,1962-11-05,Belleville,ON,CAN,CAN,72,185,--,--,--,19891990,N,26,2,1,3
Adam Creighton,L,C,1965-06-02,Burlington,ON,CAN,CAN,77,220,1983,1,11,19831984,N,708,187,216,403
Mike Crombeen,R,R,1957-04-16,Sarnia,ON,CAN,CAN,71,190,1977,1,5,19771978,N,475,55,68,123
Doug Crossman,L,D,1960-06-13,Peterborough,ON,CAN,CAN,74,190,1979,6,112,19801981,N,914,105,359,464
Keith Crowder,R,R,1959-01-06,Windsor,ON,CAN,CAN,72,190,1979,3,57,19801981,N,662,223,271,494
Shawn Cronin,L,D,1963-08-20,Joliet,IL,USA,USA,74,225,--,--,--,19881989,N,292,3,18,21
Dan Currie,L,L,1968-03-15,Burlington,ON,CAN,CAN,74,195,1986,4,84,19901991,N,22,2,1,3
John Cullen,R,C,1964-08-02,Puslinch,ON,CAN,CAN,70,180,--,--,--,19881989,N,621,187,363,550
Troy Crowder,R,R,1968-05-03,Sudbury,ON,CAN,CAN,76,220,1986,6,108,19891990,N,150,9,7,16
Gary Croteau,L,R,1946-06-20,Sudbury,ON,CAN,CAN,72,205,--,--,--,19681969,N,660,139,172,311
Bruce Crowder,R,R,1957-03-25,Essex,ON,CAN,CAN,72,180,1977,9,153,19811982,N,243,47,51,98
Jim Culhane,L,D,1965-03-13,Haileybury,ON,CAN,CAN,72,190,1984,11,215,19871988,N,6,0,1,1
Randy Cunneyworth,L,L,1961-05-10,Etobicoke,ON,CAN,CAN,72,198,1980,8,167,19801981,N,866,189,225,414
Brian Curran,L,D,1963-11-05,Toronto,ON,CAN,CAN,76,230,1982,2,22,19831984,N,381,7,33,40
Paul Cyr,L,L,1963-10-31,Port Alberni,BC,CAN,CAN,70,180,1982,1,9,19821983,N,471,101,140,241
Tony Curtale,L,D,1962-01-29,Detroit,MI,USA,USA,72,185,1980,2,31,19801981,N,2,0,0,0
Denis Cyr,L,R,1961-02-04,Verdun,QC,CAN,CAN,70,180,1980,1,13,19801981,N,193,41,43,84
Glen Currie,L,C,1958-07-18,Lachine,QC,CAN,CAN,74,180,1978,3,38,19791980,N,326,39,79,118
Jim Cunningham,L,L,1956-08-15,St. Paul,MN,USA,USA,71,185,--,--,--,19771978,N,1,0,0,0
Tony Currie,R,R,1957-11-12,Sydney Mines,NS,CAN,CAN,71,166,1977,4,63,19771978,N,290,92,119,211
Alain Daigle,R,R,1954-08-24,Cap-de-la-Madeleine,QC,CAN,CAN,70,180,1974,2,34,19741975,N,389,56,50,106
J.J. Daigneault,L,D,1965-10-12,Montréal,QC,CAN,CAN,70,192,1984,1,10,19841985,N,899,53,197,250
Kjell Dahlin,L,C,1963-03-02,Timra,--,SWE,SWE,72,175,1981,4,82,19851986,N,166,57,59,116
Chris Dahlquist,L,D,1962-12-14,Fridley,MN,USA,USA,73,196,--,--,--,19851986,N,532,19,71,90
Brad Dalgarno,R,R,1967-08-11,Vancouver,BC,CAN,CAN,75,213,1985,1,6,19851986,N,321,49,71,120
Bob Dailey,R,D,1953-05-03,Kingston,ON,CAN,CAN,77,220,1973,1,9,19731974,N,561,94,231,325
Pat Daley,L,L,1959-03-27,Marville,--,FRA,FRA,73,176,1979,4,82,19791980,N,12,1,0,1
Ulf Dahlen,L,R,1967-01-21,Ostersund,--,SWE,SWE,75,204,1985,1,7,19871988,N,966,301,354,655
Rod Dallman,L,L,1967-01-26,Quesnel,BC,CAN,CAN,71,185,1985,6,118,19871988,N,6,1,0,1
Marty Dallman,R,C,1963-02-15,Niagara Falls,ON,CAN,AUT,70,180,1981,4,81,19871988,N,6,0,1,1
Vincent Damphousse,L,C,1967-12-17,Montréal,QC,CAN,CAN,73,205,1986,1,6,19861987,N,"1,378",432,773,"1,205"
Jeff Daniels,L,L,1968-06-24,Oshawa,ON,CAN,CAN,73,200,1986,6,109,19901991,N,425,17,26,43
Ken Daneyko,L,D,1964-04-17,Windsor,ON,CAN,CAN,73,215,1982,1,18,19831984,N,"1,283",36,142,178
Dan Daoust,L,C,1960-02-29,Montréal,QC,CAN,CAN,70,160,--,--,--,19821983,N,522,87,167,254
Michael Dark,R,D,1963-09-17,Sarnia,ON,CAN,CAN,75,210,1982,6,124,19861987,N,43,5,6,11
Richard David,L,L,1958-04-08,Notre-Dame-de-la-Salette,QC,CAN,CAN,72,195,1978,3,42,19791980,N,31,4,4,8
Kim Davis,L,C,1957-05-31,Flin Flon,MB,CAN,CAN,71,170,1977,3,48,19771978,N,36,5,7,12
Reg Fleming,L,D,1936-04-21,Montréal,QC,CAN,CAN,68,170,--,--,--,19591960,N,78,6,10,16
Mal Davis,L,L,1956-10-10,Lockeport,NS,CAN,CAN,71,180,--,--,--,19781979,N,100,31,22,53
Peter Folco,L,D,1953-08-13,Montréal,QC,CAN,CAN,72,185,1973,9,131,19731974,N,2,0,0,0
Rick Foley,L,D,1945-09-22,Niagara Falls,ON,CAN,CAN,76,223,--,--,--,19701971,N,67,11,26,37
Len Fontaine,R,R,1948-02-25,Quebec City,QC,CAN,CAN,67,165,--,--,--,19721973,N,46,8,11,19
Val Fonteyne,L,L,1933-12-02,Wetaskiwin,AB,CAN,CAN,70,160,--,--,--,19591960,N,138,10,22,32
Connie Forey,L,L,1950-10-18,Montréal,QC,CAN,CAN,74,185,1970,4,49,19731974,N,4,0,0,0
Barry Dean,L,L,1955-02-26,Maple Creek,SK,CAN,CAN,73,195,1975,1,2,19761977,N,165,25,56,81
Lucien DeBlois,R,C,1957-06-21,Joliette,QC,CAN,CAN,71,200,1977,1,8,19771978,N,993,249,276,525
Dave Debol,R,C,1956-03-27,St. Clair Shores,MI,USA,USA,71,175,1976,4,63,19791980,N,92,26,26,52
Larry Depalma,L,C,1965-10-27,Trenton,MI,USA,USA,72,195,--,--,--,19851986,N,148,21,20,41
Dean Defazio,L,L,1963-04-16,Ottawa,ON,CAN,CAN,71,185,1981,9,175,19831984,N,22,0,2,2
Bill Derlago,L,C,1958-08-25,Birtle,MB,CAN,CAN,70,194,1978,1,4,19781979,N,555,189,227,416
Dale Degray,R,D,1963-09-03,Oshawa,ON,CAN,CAN,72,200,1981,8,162,19851986,N,153,18,47,65
Ron Delorme,R,C,1955-09-03,Cochin,SK,CAN,CAN,74,185,1975,4,56,19761977,N,524,83,83,166
Gilbert Delorme,R,D,1962-11-25,Boucherville,QC,CAN,CAN,73,199,1981,1,18,19811982,N,541,31,92,123
Robert Dirk,L,D,1966-08-20,Regina,SK,CAN,CAN,76,215,1984,3,53,19871988,N,402,13,29,42
Guy Delparte,L,R,1949-08-30,Prince Albert,SK,CAN,CAN,70,175,1969,6,63,19761977,N,48,1,8,9
Martin Desjardins,L,C,1967-01-28,Ste. Rose,QC,CAN,CAN,72,180,1985,4,75,19891990,N,8,0,2,2
Kevin Devine,L,L,1954-12-09,Toronto,ON,CAN,CAN,68,165,1974,7,121,19821983,N,2,0,1,1
Don Dietrich,L,D,1961-04-05,Deloraine,MB,CAN,CAN,74,205,1980,9,183,19831984,N,28,0,7,7
Eric Desjardins,R,D,1969-06-14,Rouyn,QC,CAN,CAN,73,205,1987,2,38,19881989,N,"1,143",136,439,575
Rob DiMaio,R,R,1968-02-19,Calgary,AB,CAN,CAN,70,190,1987,6,118,19881989,N,894,106,171,277
Gilbert Dionne,L,L,1970-09-19,Drummondville,QC,CAN,CAN,73,205,1990,4,81,19901991,N,223,61,79,140
Gerald Diduck,R,D,1965-04-06,Edmonton,AB,CAN,CAN,73,216,1983,1,16,19841985,N,932,56,156,212
Peter Dineen,R,D,1960-06-14,Kingston,ON,CAN,CAN,71,181,1980,9,189,19861987,N,13,0,2,2
Gary Dillon,L,C,1959-02-28,Toronto,ON,CAN,CAN,70,173,1979,5,85,19801981,N,13,1,1,2
Wayne Dillon,L,C,1955-05-25,Toronto,ON,CAN,CAN,72,185,1975,1,12,19751976,N,229,43,66,109
Kevin Dineen,R,R,1963-10-28,Quebec City,QC,CAN,CAN,71,190,1982,3,56,19841985,N,"1,188",355,405,760
Gord Dineen,R,D,1962-09-21,Quebec City,QC,CAN,CAN,72,195,1981,2,42,19821983,N,528,16,90,106
Daniel Dore,R,R,1970-04-09,Saint-Jerome,QC,CAN,CAN,75,202,1988,1,5,19891990,N,17,2,3,5
Gary Doak,R,D,1946-02-25,Goderich,ON,CAN,CAN,71,175,--,--,--,19651966,N,611,17,78,95
Bobby Dollas,L,D,1965-01-31,Montréal,QC,CAN,CAN,74,212,1983,1,14,19831984,N,646,42,96,138
Gord Donnelly,R,D,1962-04-05,Montréal,QC,CAN,CAN,73,202,1981,3,62,19831984,N,554,28,41,69
Jim Dobson,R,R,1960-02-29,Winnipeg,MB,CAN,CAN,73,195,1979,5,90,19791980,N,12,0,0,0
Andre Dore,R,D,1958-02-11,Ottawa,ON,CAN,CAN,74,200,1978,4,60,19781979,N,257,14,81,95
Jim Dorey,L,D,1947-08-17,Kingston,ON,CAN,CAN,73,190,1964,4,23,19681969,N,125,11,41,52
Dave Donnelly,L,C,1962-02-02,Edmonton,AB,CAN,CAN,71,185,1981,2,27,19831984,N,137,15,24,39
Dan Dorion,R,C,1963-03-02,Astoria,NY,USA,USA,69,180,1982,12,232,19851986,N,4,1,1,2
Mike Donnelly,L,L,1963-10-10,Detroit,MI,USA,USA,71,185,--,--,--,19861987,N,465,114,121,235
Brian Dobbin,R,R,1966-08-18,Petrolia,ON,CAN,CAN,71,205,1984,5,100,19861987,N,63,7,8,15
Clark Donatelli,L,L,1965-11-22,Providence,RI,USA,USA,70,180,1984,5,98,19891990,N,35,3,4,7
Tie Domi,R,R,1969-11-01,Windsor,ON,CAN,CAN,70,213,1988,2,27,19891990,N,"1,020",104,141,245
Per Djoos,R,D,1968-05-11,Mora,--,SWE,SWE,71,176,1986,7,127,19901991,N,82,2,31,33
Peter Douris,R,R,1966-02-19,Toronto,ON,CAN,CAN,73,195,1984,2,30,19851986,N,321,54,67,121
Jordy Douglas,L,L,1958-01-20,Winnipeg,MB,CAN,CAN,72,200,1978,5,81,19791980,N,268,76,62,138
Mario Doyon,R,D,1968-08-27,Quebec City,QC,CAN,CAN,72,174,1986,6,119,19881989,N,28,3,4,7
Peter Driscoll,L,L,1954-10-27,Kingston,ON,CAN,CAN,72,190,1974,4,67,19791980,N,60,3,8,11
Jude Drouin,R,C,1948-10-28,Mont-Louis,QC,CAN,CAN,70,160,1966,3,17,19681969,N,654,151,304,455
Bruce Driver,L,D,1962-04-29,Toronto,ON,CAN,CAN,72,185,1981,6,108,19831984,N,922,96,390,486
Kris Draper,L,C,1971-05-24,Toronto,ON,CAN,CAN,70,188,1989,3,62,19901991,N,"1,157",161,203,364
John Druce,R,R,1966-02-23,Peterborough,ON,CAN,CAN,74,195,1985,2,40,19881989,N,531,113,126,239
Steve Duchesne,L,D,1965-06-30,Sept-Iles,QC,CAN,CAN,71,195,--,--,--,19861987,N,"1,113",227,525,752
Norm Dube,L,L,1951-09-12,Sherbrooke,QC,CAN,CAN,71,185,1971,7,90,19741975,N,57,8,10,18
Gaetan Duchesne,L,L,1962-07-11,Les Saules,QC,CAN,CAN,71,200,1981,8,152,19811982,N,"1,028",179,254,433
Rick Dudley,L,L,1949-01-31,Toronto,ON,CAN,CAN,72,190,--,--,--,19721973,N,309,75,99,174
Ken Duggan,L,D,1963-02-21,London,ON,CAN,CAN,75,210,--,--,--,19871988,N,1,0,0,0
Donald Dufresne,R,D,1967-04-10,Rimouski,QC,CAN,CAN,73,206,1985,6,117,19881989,N,268,6,36,42
Rocky Dundas,R,R,1967-01-30,Regina,SK,CAN,CAN,72,195,1985,3,47,19891990,N,5,0,0,0
Dale Dunbar,L,D,1961-10-14,Winthrop,MA,USA,USA,72,200,--,--,--,19851986,N,2,0,0,0
Luc Dufour,L,L,1963-02-13,Chicoutimi,QC,CAN,CAN,71,180,1981,2,35,19821983,N,167,23,21,44
Craig Duncanson,L,R,1967-03-17,Sudbury,ON,CAN,CAN,72,190,1985,1,9,19851986,N,38,5,4,9
Larry Fullan,L,L,1949-08-11,Toronto,ON,CAN,CAN,71,185,--,--,--,19741975,N,4,1,0,1
Iain Duncan,L,L,1963-08-04,Weston,ON,CAN,CAN,73,200,1983,7,129,19861987,N,127,34,55,89
Jerome Dupont,L,D,1962-02-21,Ottawa,ON,CAN,CAN,75,200,1980,1,15,19811982,N,214,7,29,36
Vitezslav Duris,L,D,1954-01-05,Plzen,--,CZE,CZE,73,185,--,--,--,19801981,N,89,3,20,23
Blake Dunlop,R,C,1953-04-18,Hamilton,ON,CAN,CAN,70,170,1973,2,18,19731974,N,550,130,274,404
Dave Dunn,L,D,1948-08-19,Moosomin,SK,CAN,CAN,74,200,--,--,--,19731974,N,184,14,41,55
Steve Dykstra,L,L,1962-12-01,Edmonton,AB,CAN,CAN,74,190,--,--,--,19851986,N,217,8,32,40
Andre Dupont,L,D,1949-07-27,Trois-Rivières,QC,CAN,CAN,72,200,1969,1,8,19701971,N,810,59,185,244
Ron Duguay,R,C,1957-07-06,Sudbury,ON,CAN,CAN,74,200,1977,1,13,19771978,N,864,274,346,620
Richie Dunn,L,D,1957-05-12,Boston,MA,USA,USA,72,200,--,--,--,19771978,N,483,36,140,176
Norm Dupont,L,L,1957-02-05,Montréal,QC,CAN,CAN,70,185,1977,1,18,19791980,N,256,55,85,140
Miroslav Dvorak,R,D,1951-10-11,Hluboka,--,CZE,CZE,70,195,1982,3,46,19821983,N,193,11,74,85
Mike Dwyer,L,L,1957-09-16,Brampton,ON,CAN,CAN,71,172,1977,5,74,19781979,N,31,2,6,8
Mike Eaves,R,C,1956-06-10,Denver,CO,USA,USA,70,180,1976,7,113,19781979,N,324,83,143,226
Rolf Edberg,L,C,1950-09-29,Stockholm,--,SWE,SWE,70,174,--,--,--,19781979,N,184,45,58,103
Murray Eaves,R,C,1960-05-10,Calgary,AB,CAN,CAN,70,185,1980,3,44,19801981,N,57,4,13,17
Bruce Eakin,L,C,1962-09-28,Winnipeg,MB,CAN,CAN,71,190,1981,10,204,19811982,N,13,2,2,4
Jeff Eatough,R,R,1963-06-02,Toronto,ON,CAN,CAN,69,168,1981,4,80,19811982,N,1,0,0,0
Mike Eagles,L,L,1963-03-07,Sussex,NB,CAN,CAN,70,195,1981,6,116,19821983,N,853,74,122,196
Germain Gagnon,L,L,1942-12-09,Chicoutimi,QC,CAN,CAN,72,175,--,--,--,19711972,N,259,40,101,141
Darryl Edestrand,L,D,1945-11-06,Strathroy,ON,CAN,CAN,71,180,--,--,--,19671968,N,441,34,90,124
Gary Gambucci,L,C,1946-09-27,Hibbing,MN,USA,USA,69,175,--,--,--,19711972,N,51,2,7,9
Scott Garland,R,C,1952-05-16,Regina,SK,CAN,CAN,73,185,--,--,--,19751976,N,91,13,24,37
Bob Gassoff,L,D,1953-04-17,Quesnel,BC,CAN,CAN,70,195,1973,3,48,19731974,N,245,11,47,58
Gary Geldart,L,D,1950-06-14,Moncton,NB,CAN,CAN,68,160,1970,7,89,19701971,N,4,0,0,0
Jean-Guy Gendron,L,L,1934-08-30,Montréal,QC,CAN,CAN,69,165,--,--,--,19551956,N,132,26,29,55
Ed Gilbert,L,C,1952-03-12,Hamilton,ON,CAN,CAN,72,185,1972,3,46,19741975,N,166,21,31,52
Stan Gilbertson,L,L,1944-10-29,Duluth,MN,USA,USA,72,175,--,--,--,19711972,N,428,85,89,174
Bob Girard,L,L,1949-04-12,Montréal,QC,CAN,CAN,72,180,--,--,--,19751976,N,305,45,69,114
Dan Gloor,L,C,1952-12-04,Stratford,ON,CAN,CAN,69,170,1972,7,99,19731974,N,2,0,0,0
Tom Edur,R,D,1954-11-18,Toronto,ON,CAN,CAN,73,185,1974,3,54,19761977,N,158,17,70,87
Bill Goldsworthy,R,R,1944-08-24,Waterloo,ON,CAN,CAN,72,190,--,--,--,19641965,N,527,213,194,407
Pelle Eklund,L,C,1963-03-22,Stockholm,--,SWE,SWE,70,175,1983,8,161,19851986,N,594,120,335,455
Larry Gould,L,L,1952-08-16,Alliston,ON,CAN,CAN,69,170,--,--,--,19731974,N,2,0,0,0
Phil Goyette,L,C,1933-10-31,Lachine,QC,CAN,CAN,71,170,--,--,--,19561957,N,105,19,71,90
Todd Elik,L,L,1966-04-15,Brampton,ON,CAN,CAN,73,192,--,--,--,19891990,N,448,110,219,329
Dave Ellett,L,D,1964-03-30,Cleveland,OH,USA,USA,74,205,1982,4,75,19841985,N,"1,129",153,415,568
Rod Graham,L,L,1946-08-19,London,ON,CAN,CAN,72,185,--,--,--,19741975,N,14,2,1,3
Norm Gratton,L,L,1950-12-22,LaSalle,QC,CAN,CAN,71,165,1970,1,11,19711972,N,201,39,45,84
Anders Eldebrink,R,D,1960-12-11,Kalix,--,SWE,SWE,71,190,--,--,--,19811982,N,55,3,11,14
Lucien Grenier,L,R,1946-11-03,Malartic,QC,CAN,CAN,70,163,--,--,--,19691970,N,129,12,11,23
John Grisdale,R,D,1948-08-23,Geraldton,ON,CAN,CAN,72,195,--,--,--,19721973,N,250,4,39,43
Danny Gruen,L,L,1952-06-26,Thunder Bay,ON,CAN,CAN,71,190,1972,4,58,19721973,N,49,9,13,22
Bob Gryp,L,L,1950-05-06,Chatham,ON,CAN,CAN,73,190,1970,4,50,19731974,N,74,11,13,24
Vic Hadfield,L,L,1940-10-04,Oakville,ON,CAN,CAN,72,190,--,--,--,19611962,N,444,188,219,407
Anders Hakansson,L,L,1956-04-27,Munkfors,--,SWE,SWE,74,190,1976,14,134,19811982,N,330,52,46,98
Larry Hale,L,D,1941-10-09,Summerland,BC,CAN,CAN,73,180,--,--,--,19681969,N,76,1,12,13
Del Hall,L,C,1949-05-07,Peterborough,ON,CAN,CAN,70,170,--,--,--,19711972,N,9,2,0,2
Ron Ellis,R,R,1945-01-08,Lindsay,ON,CAN,CAN,69,195,--,--,--,19631964,N,612,180,186,366
